head_forward,spine_angle,shoulder_tilt,label
-0.2718990743160248,178.40540556732478,0.04907721281051636,1
-0.27026575803756714,178.56126328526344,0.04665732383728027,1
-0.2720737159252167,178.35303085579076,0.05076354742050171,1
-0.27330872416496277,178.4310500634407,0.05425530672073364,1
-0.2732473313808441,178.45539253898866,0.05476599931716919,1
-0.27150049805641174,178.43653003889384,0.053710997104644775,1
-0.26976147294044495,178.21453706382906,0.05577033758163452,1
-0.2695269286632538,178.16806284663068,0.0563470721244812,1
-0.2690403461456299,178.20062079945635,0.05566513538360596,1
-0.2664019763469696,178.18231880794596,0.05535835027694702,1
-0.27132052183151245,178.41213340500164,0.0588836669921875,1
-0.27077367901802063,178.412092826879,0.05855768918991089,1
-0.27102336287498474,178.37877340243736,0.058381855487823486,1
-0.2703859806060791,178.38333664497273,0.05503058433532715,1
-0.272105872631073,178.30466054853076,0.05533885955810547,1
-0.2721501588821411,178.2221818608233,0.05545365810394287,1
-0.2724176049232483,178.14231646797379,0.05524790287017822,1
-0.27279889583587646,178.2987697600593,0.05396926403045654,1
-0.2728234827518463,178.271656997625,0.057476937770843506,1
-0.27187514305114746,178.26744930304866,0.05566835403442383,1
-0.2715962529182434,178.2443867261401,0.055229902267456055,1
-0.2722094655036926,178.29927491430988,0.053789377212524414,1
-0.27174702286720276,178.4023155476541,0.05390042066574097,1
-0.27170124650001526,178.46331046075,0.05414348840713501,1
-0.27189889550209045,178.55100611979924,0.05348128080368042,1
-0.2706199288368225,178.27171218583896,0.05658602714538574,1
-0.27067241072654724,178.27507713806617,0.056070029735565186,1
-0.27061328291893005,178.23976575013774,0.05625671148300171,1
-0.27038007974624634,178.25647392293214,0.0557863712310791,1
-0.26954689621925354,178.4345669948871,0.053869664669036865,1
-0.26967838406562805,178.37106598669453,0.05497986078262329,1
-0.2699946165084839,178.35714689038468,0.053243279457092285,1
-0.2705893814563751,178.2188585698801,0.05380493402481079,1
-0.26957207918167114,178.1455463769608,0.05471348762512207,1
-0.27023276686668396,178.1193777061687,0.0531349778175354,1
-0.2705017924308777,178.15282560529002,0.05253112316131592,1
-0.2699931263923645,178.32637336081422,0.050563931465148926,1
-0.26994749903678894,178.36735369631558,0.05066448450088501,1
-0.2696619927883148,178.43259540431373,0.05019479990005493,1
-0.2696570158004761,178.44345145813813,0.050434112548828125,1
-0.2706945240497589,178.36983137240975,0.04873913526535034,1
-0.2720257341861725,178.16462459238343,0.049267709255218506,1
-0.2701665461063385,178.10697894376162,0.05019921064376831,1
-0.2701188027858734,178.0925707096884,0.051022350788116455,1
-0.26857805252075195,178.08067603212987,0.05241215229034424,1
-0.26924842596054077,178.0784269817988,0.05532121658325195,1
-0.2692131996154785,178.0394243952723,0.05558371543884277,1
-0.2690173387527466,177.9710066600461,0.055124521255493164,1
-0.29685911536216736,177.20902702064953,0.0637548565864563,1
-0.29783183336257935,176.6142060760974,0.08110308647155762,1
-0.29184943437576294,176.57809807320479,0.08212321996688843,1
-0.2881462275981903,176.52563244349344,0.08422404527664185,1
-0.28466570377349854,176.610304858194,0.08413636684417725,1
-0.28312402963638306,176.59709396385912,0.08506560325622559,1
-0.28193399310112,176.59735940073338,0.08220177888870239,1
-0.2791244387626648,176.6666231017706,0.0824887752532959,1
-0.27759337425231934,176.72134831860654,0.07829034328460693,1
-0.27764907479286194,176.73698065238534,0.07840222120285034,1
-0.2770540118217468,176.8449996928732,0.07832741737365723,1
-0.2775450646877289,176.80837341406405,0.07747679948806763,1
-0.2773231565952301,176.79550379820668,0.07881933450698853,1
-0.2758484482765198,176.91190996471687,0.0781475305557251,1
-0.2787187993526459,176.97086469489466,0.07739526033401489,1
-0.2787964642047882,177.09975186092714,0.0757635235786438,1
-0.2843888998031616,177.07115657576796,0.07516288757324219,1
-0.2851044833660126,176.98000180536832,0.07598155736923218,1
-0.2892046570777893,176.93877047840857,0.07498884201049805,1
-0.2889713644981384,176.95960582196358,0.07485264539718628,1
-0.29003849625587463,176.90903769211545,0.07717370986938477,1
-0.2915613055229187,176.9032030862174,0.07687985897064209,1
-0.29337331652641296,176.87859575360534,0.0765073299407959,1
-0.2948583960533142,176.81825998997624,0.07597547769546509,1
-0.2952407896518707,176.8621821940643,0.07548117637634277,1
-0.2958827614784241,176.85443892957343,0.07650065422058105,1
-0.2939578592777252,176.80349010844827,0.07815474271774292,1
-0.29532063007354736,176.73356114711856,0.0813702940940857,1
-0.29317498207092285,176.81327389788555,0.08018970489501953,1
-0.2934267520904541,176.90118861986093,0.0786023736000061,1
-0.2927577793598175,176.626230065155,0.07963711023330688,1
-0.2898871898651123,176.56621697011832,0.0811358094215393,1
-0.28792157769203186,176.53270084756213,0.08114475011825562,1
-0.2882891297340393,176.5996333523755,0.07945102453231812,1
-0.2882572114467621,176.7169534057473,0.07631969451904297,1
-0.2888612747192383,176.86621830937062,0.07664966583251953,1
-0.2884170413017273,176.88321783206092,0.07708507776260376,1
-0.28999921679496765,176.8512466139458,0.07769560813903809,1
-0.29047030210494995,176.8470859185178,0.07797873020172119,1
-0.2917390465736389,176.82761774029214,0.08105993270874023,1
-0.29043251276016235,176.8401178910979,0.08022058010101318,1
-0.2908300757408142,176.85379014417134,0.07922685146331787,1
-0.29127970337867737,176.68978145777547,0.07988917827606201,1
-0.2908340096473694,176.67972630190974,0.08063864707946777,1
-0.2926013171672821,176.6061225117809,0.08084845542907715,1
-0.29312896728515625,176.58240940615755,0.08304697275161743,1
-0.2915711998939514,176.59840272243835,0.08140808343887329,1
-0.2636457085609436,177.67990741940022,0.04140019416809082,1
-0.2694612741470337,177.9977620783094,0.040859222412109375,1
-0.26910918951034546,178.0096859733344,0.04096245765686035,1
-0.26806387305259705,178.02662700344933,0.03978198766708374,1
-0.26857298612594604,177.97579069783308,0.039354681968688965,1
